"ORGANIZATIONID","NAME","NEXTID","STARTDATE","EXPIRATIONDATE"
276,"Tibet Academy of Agricultural Research Institute",17904,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
290,"Wuhan Institue of Botany, CAS",17984,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
298,"Yunnan Academy of Agricutural Sciences",18049,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
302,"Zhejiang Normal University",18071,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
868,"Targenomix",2,01-OCT-14 12.00.00.000000000 PM +08:00,31-MAR-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
963,"James Madison University",2,01-NOV-14 12.00.00.000000000 PM AMERICA/LOS_ANGELES,31-OCT-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
965,"University of Colorado at Boulder",10,01-OCT-14 12.00.00.000000000 PM AMERICA/LOS_ANGELES,30-SEP-18 12.00.00.000000000 PM AMERICA/LOS_ANGELES
46,"University of Lausanne",4,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,30-JUN-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
111,"Beijing University of Agriculture ",16697,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
124,"China University of Science and Technology",16776,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
131,"Cibus LLC",16818,05-JUN-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,04-JUN-18 12.00.00.000000000 PM AMERICA/LOS_ANGELES
139,"East-China Normal University",16910,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
152,"Guangxi Academy of Sciences",16974,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
156,"Guangxi University Library ",16989,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
157,"GuangZhou Institute of Biomedicine and Health, CAS",16990,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 AM AMERICA/LOS_ANGELES
23,"Michigan State University",2,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-20 12.00.00.000000000 PM AMERICA/LOS_ANGELES
40,"Texas A&M",9,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
43,"University of Amsterdam",6,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
44,"University of Cambridge",8,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
59,"Yale University",10,01-APR-14 12.00.00.000000000 AM AMERICA/LOS_ANGELES,31-MAR-17 12.00.00.000000000 PM AMERICA/LOS_ANGELES
69,"University of Tennessee Knoxville",5,31-MAR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
70,"COS Heidelberg",9,31-MAR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,31-MAR-16 12.00.00.000000000 PM AMERICA/LOS_ANGELES
75,"King Abdullah University of Science and Technology",3,31-MAR-14 11.52.00.000000000 PM AMERICA/LOS_ANGELES,31-DEC-15 12.00.00.000000000 PM AMERICA/LOS_ANGELES
