ORGANIZATIONID,SUBSCRIBEDIPRANGENO,STARTIP,ENDIP
292,17993,115.154.0.0,115.154.255.254
292,17994,117.32.153.125,117.32.153.191
292,17995,123.138.73.193,123.138.73.224
292,17996,202.117.0.0,202.117.63.255
292,17997,202.117.160.0,202.117.175.255
292,17998,202.117.200.0,202.117.223.255
292,17999,202.117.3.69,202.117.3.69
292,18000,202.117.3.70,202.117.3.70
292,18001,202.200.224.0,202.200.239.255
292,18002,219.245.128.0,219.245.191.255
292,18003,219.245.32.0,219.245.47.255
292,18004,222.91.160.251,222.91.160.251
293,18005,112.5.175.0,112.5.175.31
293,18006,117.28.251.128,117.28.251.255
293,18007,117.30.176.0,117.30.187.255
293,18008,121.192.160.0,121.192.191.255
293,18009,125.77.201.0,125.77.201.128
293,18010,183.250.180.0,183.250.183.255
293,18011,202.38.126.176,202.38.126.191
293,18012,210.34.0.0,210.34.23.255
293,18013,210.34.208.0,210.34.211.255
293,18014,210.34.216.0,210.34.219.255
293,18015,218.104.142.64,218.104.142.96
293,18016,218.193.0.0,218.193.31.255
293,18017,218.193.48.0,218.193.63.255
293,18018,218.5.84.160,218.5.84.175
293,18019,219.229.0.0,219.229.47.255
293,18020,219.229.96.0,219.229.127.255
293,18021,220.160.107.128,220.160.107.191
293,18022,220.160.54.56,220.160.54.63
293,18023,222.76.201.128,222.76.201.159
293,18024,222.76.201.64,222.76.201.95
293,18025,58.195.85.96,58.195.85.111
293,18026,58.199.64.0,58.199.95.255
293,18027,58.200.104.1,58.200.104.128
293,18028,58.200.20.0,58.200.20.255
293,18029,59.61.87.185,59.61.87.190
293,18030,59.77.0.0,59.77.63.255
293,18031,61.154.240.34,61.154.240.34
294,18032,60.13.219.74,60.13.219.74
295,18033,159.226.249.1,159.226.249.255
295,18034,159.226.69.1,159.226.69.255
295,18035,210.72.92.1,210.72.92.255
295,18036,210.72.93.1,210.72.93.255
295,18037,210.72.95.128,210.72.95.255
296,18038,210.42.16.0,210.42.23.255
296,18039,221.233.24.0,221.233.24.63
296,18040,27.17.13.128,27.17.13.191
296,18041,58.19.230.64,58.19.230.95
297,18042,121.22.24.145,121.22.24.150
297,18043,121.22.29.114,121.22.29.126
297,18044,202.206.240.0,202.206.255.255
297,18045,211.81.240.0,211.81.255.255
298,18046,116.53.251.162,116.53.251.162
298,18047,220.163.116.202,220.163.116.202
298,18048,221.213.46.34,221.213.46.34
299,18049,116.55.170.106,116.55.170.106
299,18050,116.55.171.221,116.55.171.221
300,18051,113.55.0.0,113.55.127.255
300,18052,116.53.253.224,116.53.253.239
300,18053,119.62.122.48,119.62.122.63
300,18054,182.242.229.192,182.242.229.255
300,18055,202.203.128.0,202.203.131.255
300,18056,202.203.208.0,202.203.223.255
300,18057,202.203.32.0,202.203.47.255
300,18058,220.163.84.240,220.163.84.255
300,18059,222.19.192.0,222.19.239.255
300,36903,113.55.0.0,113.55.127.255
300,36904,116.53.253.224,116.53.253.239
300,36905,119.62.122.48,119.62.122.63
300,36906,182.242.229.192,182.242.229.255
300,36907,202.203.128.0,202.203.131.255
300,36908,202.203.208.0,202.203.223.255
300,36909,202.203.32.0,202.203.47.255
300,36910,220.163.84.240,220.163.84.255
300,36911,222.19.192.0,222.19.239.255
301,18060,124.160.64.1,124.160.64.254
301,18061,202.96.99.48,202.96.99.63
301,18062,210.33.88.1,210.33.95.254
301,18063,221.12.10.216,221.12.10.219
302,18064,122.226.225.146,122.226.225.146
302,18065,123.157.19.0,123.157.19.63
302,18066,210.33.80.0,210.33.87.255
302,18067,220.189.211.96,220.189.211.126
302,18068,61.153.34.0,61.153.34.255
302,18069,61.175.228.0,61.175.228.255
302,18070,61.232.83.9,61.232.83.10
303,18071,218.28.32.33,218.28.32.46
586,35084,60.28.63.2,60.28.63.2
587,35118,114.255.35.176,114.255.35.191
587,35119,202.106.11.46,202.106.11.46
588,35185,124.16.129.1,124.16.129.128
588,35186,222.128.66.119,222.128.66.119
589,35187,211.147.18.64,211.147.18.95
589,35188,211.155.251.128,211.155.251.159
589,35189,211.155.251.224,211.155.251.255
589,35190,211.167.237.128,211.167.237.255
589,35191,219.239.34.128,219.239.34.255
590,35224,114.255.140.128,114.255.140.255
590,35225,124.207.66.64,124.207.66.95
590,35226,211.100.254.16,211.100.254.31
591,35282,1.202.225.65,1.202.225.77
591,35283,106.120.203.64,106.120.203.95
591,35284,106.120.223.150,106.120.223.150
591,35285,123.124.148.32,123.124.148.63
591,35286,124.17.116.1,124.17.116.254
591,35287,124.207.115.148,124.207.115.148
592,35383,211.147.18.64,211.147.18.95
592,35384,211.155.251.128,211.155.251.159
592,35385,211.155.251.224,211.155.251.255
592,35386,211.167.237.128,211.167.237.255
592,35387,219.239.34.128,219.239.34.255
593,35460,210.76.192.0,210.76.223.255
593,35461,210.77.0.0,210.77.31.255
594,35498,113.108.172.186,113.108.172.190
594,35499,124.16.10.1,124.16.10.64
595,35527,124.17.90.1,124.17.90.254
595,35528,60.28.141.0,60.28.141.31
596,35569,219.147.191.138,219.147.191.138
597,35585,202.127.200.0,202.127.207.255
597,35586,210.73.16.0,210.73.31.255
597,35587,61.190.88.128,61.190.88.255
598,35722,159.226.79.0,159.226.79.255
599,35724,211.147.18.64,211.147.18.95
599,35725,211.155.251.128,211.155.251.159
599,35726,211.155.251.224,211.155.251.255
599,35727,211.167.237.128,211.167.237.255
599,35728,219.239.34.128,219.239.34.255
